sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Communio,Cross Reaping,Executioner's Gallows,Executioner's Gibbet,Gallows,Gibbet,Gluttony,Harpe,Harvest Moon,Infernal Slice,Lemure's Slice,Perfectio,Plentiful Harvest,Sacrificium,Shadow of Death,Slice,Soul Slice,Unveiled Gallows,Unveiled Gibbet,Void Reaping,Waxing Slice
131699,132319,Communio,134621.0,458891,404801,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,132459,257599,203379,336578,309085,149364,157853,443589,396053
132199,132731,Auto,11720.0,470611,404801,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,132459,257599,203379,336578,309085,149364,157853,443589,396053
133399,134559,Plentiful Harvest,122382.0,470611,404801,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,254841,257599,203379,336578,309085,149364,157853,443589,396053
135399,135931,Auto,11720.0,482331,404801,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,254841,257599,203379,336578,309085,149364,157853,443589,396053
135890,136430,Void Reaping,70978.0,482331,404801,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,254841,257599,203379,336578,309085,149364,157853,514567,396053
136510,137270,Sacrificium,85668.0,482331,404801,471016,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,254841,343267,203379,336578,309085,149364,157853,514567,396053
137390,138010,Cross Reaping,78320.0,482331,404801,549336,201401,188662,210477,216251,131950,30859,0,407370,206052,172198,254841,343267,203379,336578,309085,149364,157853,514567,396053
138010,138720,Lemure's Slice,34262.0,482331,404801,549336,201401,188662,210477,216251,131950,30859,0,407370,240314,172198,254841,343267,203379,336578,309085,149364,157853,514567,396053
138599,139131,Auto,11720.0,494051,404801,549336,201401,188662,210477,216251,131950,30859,0,407370,240314,172198,254841,343267,203379,336578,309085,149364,157853,514567,396053
138891,139431,Void Reaping,78320.0,494051,404801,549336,201401,188662,210477,216251,131950,30859,0,407370,240314,172198,254841,343267,203379,336578,309085,149364,157853,592887,396053
140391,141011,Cross Reaping,78320.0,494051,404801,627656,201401,188662,210477,216251,131950,30859,0,407370,240314,172198,254841,343267,203379,336578,309085,149364,157853,592887,396053
141011,141721,Lemure's Slice,34262.0,494051,404801,627656,201401,188662,210477,216251,131950,30859,0,407370,274576,172198,254841,343267,203379,336578,309085,149364,157853,592887,396053
141799,142331,Auto,11720.0,505771,404801,627656,201401,188662,210477,216251,131950,30859,0,407370,274576,172198,254841,343267,203379,336578,309085,149364,157853,592887,396053
142692,143312,Communio,134621.0,505771,539422,627656,201401,188662,210477,216251,131950,30859,0,407370,274576,172198,254841,343267,203379,336578,309085,149364,157853,592887,396053
