sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
205835,211500,Dia (dot),85,1.0,5600,2000,4680,680,5950,21350,3840
212257,212927,Assize,400,1.0,5600,2400,4680,680,5950,21350,3840
211655,212945,Glare III,350,1.0,5600,2400,4680,680,5950,21700,3840
205835,214500,Dia (dot),85,1.0,5600,2400,4680,680,6035,21700,3840
214585,215117,Auto,90,1.0,5600,2400,4770,680,6035,21700,3840
214085,215375,Glare III,350,1.0,5600,2400,4770,680,6035,22050,3840
205835,217500,Dia (dot),85,1.0,5600,2400,4770,680,6120,22050,3840
216515,217805,Glare III,350,1.0,5600,2400,4770,680,6120,22400,3840
219445,219977,Auto,90,1.0,5600,2400,4860,680,6120,22400,3840
218945,220235,Glare III,350,1.0,5600,2400,4860,680,6120,22750,3840
205835,220500,Dia (dot),85,1.0,5600,2400,4860,680,6205,22750,3840
221375,222665,Glare III,350,1.0,5600,2400,4860,680,6205,23100,3840
222885,223417,Auto,90,1.0,5600,2400,4950,680,6205,23100,3840
205835,223500,Dia (dot),85,1.0,5600,2400,4950,680,6290,23100,3840
205835,226500,Dia (dot),85,1.0,5600,2400,4950,680,6375,23100,3840
226735,227267,Auto,90,1.0,5600,2400,5040,680,6375,23100,3840
226235,227525,Glare III,350,1.0,5600,2400,5040,680,6375,23450,3840
205835,229500,Dia (dot),85,1.0,5600,2400,5040,680,6460,23450,3840
228665,229955,Glare III,350,1.0,5600,2400,5040,680,6460,23800,3840
231595,232127,Auto,90,1.0,5600,2400,5130,680,6460,23800,3840
231095,232385,Glare III,350,1.0,5600,2400,5130,680,6460,24150,3840
205835,232500,Dia (dot),85,1.0,5600,2400,5130,680,6545,24150,3840
233525,234815,Glare III,350,1.0,5600,2400,5130,680,6545,24500,3840
205835,235500,Dia (dot),85,1.0,5600,2400,5130,680,6630,24500,3840
235035,235567,Auto,90,1.0,5600,2400,5220,680,6630,24500,3840
234995,236285,Dia,85,1.0,5600,2400,5220,765,6630,24500,3840
234995,238500,Dia (dot),85,1.0,5600,2400,5220,765,6715,24500,3840
238885,239417,Auto,90,1.0,5600,2400,5310,765,6715,24500,3840
238385,239675,Glare III,350,1.0,5600,2400,5310,765,6715,24850,3840
234995,241500,Dia (dot),85,1.0,5600,2400,5310,765,6800,24850,3840
240815,242105,Glare III,350,1.0,5600,2400,5310,765,6800,25200,3840
243745,244277,Auto,90,1.0,5600,2400,5400,765,6800,25200,3840
234995,244500,Dia (dot),85,1.0,5600,2400,5400,765,6885,25200,3840
243245,244535,Glare III,350,1.0,5600,2400,5400,765,6885,25550,3840
245675,246965,Glare III,350,1.0,5600,2400,5400,765,6885,25900,3840
234995,247500,Dia (dot),85,1.0,5600,2400,5400,765,6970,25900,3840
248305,248837,Auto,90,1.0,5600,2400,5490,765,6970,25900,3840
247805,249095,Glare III,350,1.0,5600,2400,5490,765,6970,26250,3840
249085,249935,Glare IV,640,1.0,5600,2400,5490,765,6970,26250,4480
234995,250500,Dia (dot),85,1.0,5600,2400,5490,765,7055,26250,4480
251055,251587,Auto,90,1.0,5600,2400,5580,765,7055,26250,4480
251026,251606,Afflatus Misery,1400,1.0,7000,2400,5580,765,7055,26250,4480
234995,253500,Dia (dot),85,1.0,7000,2400,5580,765,7140,26250,4480
252966,253816,Glare IV,640,1.0,7000,2400,5580,765,7140,26250,5120
253586,254256,Assize,400,1.0,7000,2800,5580,765,7140,26250,5120
253805,254337,Auto,90,1.0,7000,2800,5670,765,7140,26250,5120
254906,255756,Glare IV,640,1.0,7000,2800,5670,765,7140,26250,5760
234995,256500,Dia (dot),85,1.0,7000,2800,5670,765,7225,26250,5760
256555,257087,Auto,90,1.0,7000,2800,5760,765,7225,26250,5760
257506,258796,Glare III,350,1.0,7000,2800,5760,765,7225,26600,5760
234995,259500,Dia (dot),85,1.0,7000,2800,5760,765,7310,26600,5760
259946,260478,Auto,90,1.0,7000,2800,5850,765,7310,26600,5760
259446,260736,Glare III,350,1.0,7000,2800,5850,765,7310,26950,5760
234995,262500,Dia (dot),85,1.0,7000,2800,5850,765,7395,26950,5760
261386,262676,Glare III,350,1.0,7000,2800,5850,765,7395,27300,5760
264126,264658,Auto,90,1.0,7000,2800,5940,765,7395,27300,5760
263626,264916,Glare III,350,1.0,7000,2800,5940,765,7395,27650,5760
234995,265500,Dia (dot),85,1.0,7000,2800,5940,765,7480,27650,5760
265096,266386,Dia,85,1.0,7000,2800,5940,850,7480,27650,5760
265096,268500,Dia (dot),85,1.0,7000,2800,5940,850,7565,27650,5760
268986,269518,Auto,90,1.0,7000,2800,6030,850,7565,27650,5760
268486,269776,Glare III,350,1.0,7000,2800,6030,850,7565,28000,5760
265096,271500,Dia (dot),85,1.0,7000,2800,6030,850,7650,28000,5760
272426,272958,Auto,90,1.0,7000,2800,6120,850,7650,28000,5760
265096,274500,Dia (dot),85,1.0,7000,2800,6120,850,7735,28000,5760
275866,276398,Auto,90,1.0,7000,2800,6210,850,7735,28000,5760
265096,277500,Dia (dot),85,1.0,7000,2800,6210,850,7820,28000,5760
277246,277826,Afflatus Misery,1400,1.0,8400,2800,6210,850,7820,28000,5760
279306,279838,Auto,90,1.0,8400,2800,6300,850,7820,28000,5760
265096,280500,Dia (dot),85,1.0,8400,2800,6300,850,7905,28000,5760
280636,281926,Glare III,350,1.0,8400,2800,6300,850,7905,28350,5760
265096,283500,Dia (dot),85,1.0,8400,2800,6300,850,7990,28350,5760
283566,284098,Auto,90,1.0,8400,2800,6390,850,7990,28350,5760
283066,284356,Glare III,350,1.0,8400,2800,6390,850,7990,28700,5760
265096,286500,Dia (dot),85,1.0,8400,2800,6390,850,8075,28700,5760
285497,286787,Glare III,350,1.0,8400,2800,6390,850,8075,29050,5760
288427,288959,Auto,90,1.0,8400,2800,6480,850,8075,29050,5760
287927,289217,Glare III,350,1.0,8400,2800,6480,850,8075,29400,5760
265096,289500,Dia (dot),85,1.0,8400,2800,6480,850,8160,29400,5760
290357,291647,Glare III,350,1.0,8400,2800,6480,850,8160,29750,5760
265096,292500,Dia (dot),85,1.0,8400,2800,6480,850,8245,29750,5760
293287,293819,Auto,90,1.0,8400,2800,6570,850,8245,29750,5760
292787,294077,Glare III,350,1.0,8400,2800,6570,850,8245,30100,5760
265096,295500,Dia (dot),85,1.0,8400,2800,6570,850,8330,30100,5760
294877,295547,Assize,400,1.0,8400,3200,6570,850,8330,30100,5760
294257,295547,Dia,85,1.0,8400,3200,6570,935,8330,30100,5760
294257,298500,Dia (dot),85,1.0,8400,3200,6570,935,8415,30100,5760
298147,298679,Auto,90,1.0,8400,3200,6660,935,8415,30100,5760
297647,298937,Glare III,350,1.0,8400,3200,6660,935,8415,30450,5760
300077,301367,Glare III,350,1.0,8400,3200,6660,935,8415,30800,5760
294257,301500,Dia (dot),85,1.0,8400,3200,6660,935,8500,30800,5760
303007,303539,Auto,90,1.0,8400,3200,6750,935,8500,30800,5760
302507,303797,Glare III,350,1.0,8400,3200,6750,935,8500,31150,5760
294257,304500,Dia (dot),85,1.0,8400,3200,6750,935,8585,31150,5760
304937,306227,Glare III,350,1.0,8400,3200,6750,935,8585,31500,5760
294257,307500,Dia (dot),85,1.0,8400,3200,6750,935,8670,31500,5760
307867,308399,Auto,90,1.0,8400,3200,6840,935,8670,31500,5760
307367,308657,Glare III,350,1.0,8400,3200,6840,935,8670,31850,5760
294257,310500,Dia (dot),85,1.0,8400,3200,6840,935,8755,31850,5760
309797,311087,Glare III,350,1.0,8400,3200,6840,935,8755,32200,5760
312727,313259,Auto,90,1.0,8400,3200,6930,935,8755,32200,5760
294257,313500,Dia (dot),85,1.0,8400,3200,6930,935,8840,32200,5760
312227,313517,Glare III,350,1.0,8400,3200,6930,935,8840,32550,5760
314657,315947,Glare III,350,1.0,8400,3200,6930,935,8840,32900,5760
294257,316500,Dia (dot),85,1.0,8400,3200,6930,935,8925,32900,5760
317587,318119,Auto,90,1.0,8400,3200,7020,935,8925,32900,5760
317087,318377,Glare III,350,1.0,8400,3200,7020,935,8925,33250,5760
294257,319500,Dia (dot),85,1.0,8400,3200,7020,935,9010,33250,5760
319517,320807,Glare III,350,1.0,8400,3200,7020,935,9010,33600,5760
294257,322500,Dia (dot),85,1.0,8400,3200,7020,935,9095,33600,5760
322447,322979,Auto,90,1.0,8400,3200,7110,935,9095,33600,5760
321947,323237,Glare III,350,1.0,8400,3200,7110,935,9095,33950,5760
323417,324707,Dia,85,1.0,8400,3200,7110,1020,9095,33950,5760
323417,325500,Dia (dot),85,1.0,8400,3200,7110,1020,9180,33950,5760
327307,327839,Auto,90,1.0,8400,3200,7200,1020,9180,33950,5760
326807,328097,Glare III,350,1.0,8400,3200,7200,1020,9180,34300,5760
323417,328500,Dia (dot),85,1.0,8400,3200,7200,1020,9265,34300,5760
329237,330527,Glare III,350,1.0,8400,3200,7200,1020,9265,34650,5760
330747,331279,Auto,90,1.0,8400,3200,7290,1020,9265,34650,5760
323417,331500,Dia (dot),85,1.0,8400,3200,7290,1020,9350,34650,5760
323417,334500,Dia (dot),85,1.0,8400,3200,7290,1020,9435,34650,5760
334597,335129,Auto,90,1.0,8400,3200,7380,1020,9435,34650,5760
334097,335387,Glare III,350,1.0,8400,3200,7380,1020,9435,35000,5760
334877,335547,Assize,400,1.0,8400,3600,7380,1020,9435,35000,5760
323417,337500,Dia (dot),85,1.0,8400,3600,7380,1020,9520,35000,5760
336527,337817,Glare III,350,1.0,8400,3600,7380,1020,9520,35350,5760
339457,339989,Auto,90,1.0,8400,3600,7470,1020,9520,35350,5760
338957,340247,Glare III,350,1.0,8400,3600,7470,1020,9520,35700,5760
323417,340500,Dia (dot),85,1.0,8400,3600,7470,1020,9605,35700,5760
341388,342678,Glare III,350,1.0,8400,3600,7470,1020,9605,36050,5760
323417,343500,Dia (dot),85,1.0,8400,3600,7470,1020,9690,36050,5760
344318,344850,Auto,90,1.0,8400,3600,7560,1020,9690,36050,5760
343818,345108,Glare III,350,1.0,8400,3600,7560,1020,9690,36400,5760
323417,346500,Dia (dot),85,1.0,8400,3600,7560,1020,9775,36400,5760
346248,347538,Glare III,350,1.0,8400,3600,7560,1020,9775,36750,5760
323417,349500,Dia (dot),85,1.0,8400,3600,7560,1020,9860,36750,5760
349178,349710,Auto,90,1.0,8400,3600,7650,1020,9860,36750,5760
348678,349968,Glare III,350,1.0,8400,3600,7650,1020,9860,37100,5760
323417,352500,Dia (dot),85,1.0,8400,3600,7650,1020,9945,37100,5760
352618,353150,Auto,90,1.0,8400,3600,7740,1020,9945,37100,5760
355008,356298,Dia,85,1.0,8400,3600,7740,1105,9945,37100,5760
356058,356590,Auto,90,1.0,8400,3600,7830,1105,9945,37100,5760
355008,358500,Dia (dot),85,1.0,8400,3600,7830,1105,10030,37100,5760
358398,359688,Glare III,350,1.0,8400,3600,7830,1105,10030,37450,5760
359498,360030,Auto,90,1.0,8400,3600,7920,1105,10030,37450,5760
355008,361500,Dia (dot),85,1.0,8400,3600,7920,1105,10115,37450,5760
360828,362118,Glare III,350,1.0,8400,3600,7920,1105,10115,37800,5760
363758,364290,Auto,90,1.0,8400,3600,8010,1105,10115,37800,5760
355008,364500,Dia (dot),85,1.0,8400,3600,8010,1105,10200,37800,5760
363258,364548,Glare III,350,1.0,8400,3600,8010,1105,10200,38150,5760
365688,366978,Glare III,350,1.0,8400,3600,8010,1105,10200,38500,5760
355008,367500,Dia (dot),85,1.0,8400,3600,8010,1105,10285,38500,5760
368318,368850,Auto,90,1.0,8400,3600,8100,1105,10285,38500,5760
367818,369108,Glare III,350,1.0,8400,3600,8100,1105,10285,38850,5760
369098,369948,Glare IV,640,1.0,8400,3600,8100,1105,10285,38850,6400
355008,370500,Dia (dot),85,1.0,8400,3600,8100,1105,10370,38850,6400
371068,371600,Auto,90,1.0,8400,3600,8190,1105,10370,38850,6400
371038,371888,Glare IV,640,1.0,8400,3600,8190,1105,10370,38850,7040
355008,373500,Dia (dot),85,1.0,8400,3600,8190,1105,10455,38850,7040
372978,373828,Glare IV,640,1.0,8400,3600,8190,1105,10455,38850,7680
373818,374350,Auto,90,1.0,8400,3600,8280,1105,10455,38850,7680
374918,375498,Afflatus Misery,1400,1.0,9800,3600,8280,1105,10455,38850,7680
