sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aerial Blast (pet),Akh Morn (pet),Astral Impulse,Auto,Crimson Cyclone,Crimson Strike,Deathflare,Earthen Fury (pet),Emerald Rite,Energy Drain,Exodus (pet),Fountain of Fire,Inferno (pet),Luxwave (pet),Mountain Buster,Necrotize,Revelation (pet),Ruby Rite,Ruin III,Ruin IV,Scarlet Flame (pet),Searing Flash,Slipstream,Slipstream (dot),Sunflare,Topaz Rite,Umbral Impulse,Wyrmwave (pet)
104630,105390,Mountain Buster,160,1.0,800,1300,3000,2970,1120,1120,500,1600,1120,400,1500,0,1600,640,1120,1000,0,2480,1200,1040,0,700,520,180,1000,2380,3840,600
106410,107030,Topaz Rite,340,1.0,800,1300,3000,2970,1120,1120,500,1600,1120,400,1500,0,1600,640,1120,1000,0,2480,1200,1040,0,700,520,180,1000,2720,3840,600
107070,107602,Auto,90,1.0,800,1300,3000,3060,1120,1120,500,1600,1120,400,1500,0,1600,640,1120,1000,0,2480,1200,1040,0,700,520,180,1000,2720,3840,600
107110,107870,Mountain Buster,160,1.0,800,1300,3000,3060,1120,1120,500,1600,1120,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,520,180,1000,2720,3840,600
110190,110722,Auto,90,1.0,800,1300,3000,3150,1120,1120,500,1600,1120,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,520,180,1000,2720,3840,600
110990,110990,Aerial Blast (pet),800,1.0,1600,1300,3000,3150,1120,1120,500,1600,1120,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,520,180,1000,2720,3840,600
113850,114870,Slipstream,520,1.0,1600,1300,3000,3150,1120,1120,500,1600,1120,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,180,1000,2720,3840,600
113850,114870,Slipstream (dot),30,1.0,1600,1300,3000,3150,1120,1120,500,1600,1120,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,210,1000,2720,3840,600
114350,114882,Auto,90,1.0,1600,1300,3000,3240,1120,1120,500,1600,1120,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,210,1000,2720,3840,600
114850,115470,Emerald Rite,280,1.0,1600,1300,3000,3240,1120,1120,500,1600,1400,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,210,1000,2720,3840,600
113850,115500,Slipstream (dot),30,1.0,1600,1300,3000,3240,1120,1120,500,1600,1400,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,240,1000,2720,3840,600
116351,116971,Emerald Rite,280,1.0,1600,1300,3000,3240,1120,1120,500,1600,1680,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,240,1000,2720,3840,600
117470,118002,Auto,90,1.0,1600,1300,3000,3330,1120,1120,500,1600,1680,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,240,1000,2720,3840,600
117851,118471,Emerald Rite,280,1.0,1600,1300,3000,3330,1120,1120,500,1600,1960,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,240,1000,2720,3840,600
113850,118500,Slipstream (dot),30,1.0,1600,1300,3000,3330,1120,1120,500,1600,1960,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,270,1000,2720,3840,600
119351,119971,Emerald Rite,280,1.0,1600,1300,3000,3330,1120,1120,500,1600,2240,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,270,1000,2720,3840,600
120590,121122,Auto,90,1.0,1600,1300,3000,3420,1120,1120,500,1600,2240,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,270,1000,2720,3840,600
113850,121500,Slipstream (dot),30,1.0,1600,1300,3000,3420,1120,1120,500,1600,2240,400,1500,0,1600,640,1280,1000,0,2480,1200,1040,0,700,1040,300,1000,2720,3840,600
124051,124051,Luxwave (pet),160,1.0,1600,1300,3000,3420,1120,1120,500,1600,2240,400,1500,0,1600,800,1280,1000,0,2480,1200,1040,0,700,1040,300,1000,2720,3840,600
123331,124131,Umbral Impulse,640,1.0,1600,1300,3000,3420,1120,1120,500,1600,2240,400,1500,0,1600,800,1280,1000,0,2480,1200,1040,0,700,1040,300,1000,2720,4480,600
123710,124242,Auto,90,1.0,1600,1300,3000,3510,1120,1120,500,1600,2240,400,1500,0,1600,800,1280,1000,0,2480,1200,1040,0,700,1040,300,1000,2720,4480,600
113850,124500,Slipstream (dot),30,1.0,1600,1300,3000,3510,1120,1120,500,1600,2240,400,1500,0,1600,800,1280,1000,0,2480,1200,1040,0,700,1040,330,1000,2720,4480,600
125811,126611,Umbral Impulse,640,1.0,1600,1300,3000,3510,1120,1120,500,1600,2240,400,1500,0,1600,800,1280,1000,0,2480,1200,1040,0,700,1040,330,1000,2720,5120,600
127201,127201,Luxwave (pet),160,1.0,1600,1300,3000,3510,1120,1120,500,1600,2240,400,1500,0,1600,960,1280,1000,0,2480,1200,1040,0,700,1040,330,1000,2720,5120,600
127211,127211,Exodus (pet),1500,1.0,1600,1300,3000,3510,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,1000,0,2480,1200,1040,0,700,1040,330,1000,2720,5120,600
126511,127221,Necrotize,500,1.0,1600,1300,3000,3510,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,1500,0,2480,1200,1040,0,700,1040,330,1000,2720,5120,600
126830,127362,Auto,90,1.0,1600,1300,3000,3600,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,1500,0,2480,1200,1040,0,700,1040,330,1000,2720,5120,600
