sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
133146,133146,Pile Bunker (pet),73304.0,397104,215166,379303,251607,286641,149081,286641,751492,383363,423317,467514,359425,248866,203266,140541,380949,160296
133029,133879,Blazing Shot,34083.0,397104,215166,413386,251607,286641,149081,286641,751492,383363,423317,467514,359425,248866,203266,140541,380949,160296
133649,134359,Double Check,23590.0,397104,215166,413386,251607,286641,149081,310231,751492,383363,423317,467514,359425,248866,203266,140541,380949,160296
135146,135146,Crowned Collider (pet),84083.0,397104,215166,413386,251607,286641,233164,310231,751492,383363,423317,467514,359425,248866,203266,140541,380949,160296
134530,135380,Blazing Shot,34083.0,397104,215166,447469,251607,286641,233164,310231,751492,383363,423317,467514,359425,248866,203266,140541,380949,160296
134790,135548,Shot,7685.0,397104,215166,447469,251607,286641,233164,310231,751492,383363,423317,467514,359425,248866,203266,140541,388634,160296
135150,135860,Checkmate,23590.0,397104,215166,447469,251607,310231,233164,310231,751492,383363,423317,467514,359425,248866,203266,140541,388634,160296
136030,136880,Blazing Shot,34083.0,397104,215166,481552,251607,310231,233164,310231,751492,383363,423317,467514,359425,248866,203266,140541,388634,160296
136650,137360,Double Check,23590.0,397104,215166,481552,251607,310231,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,388634,160296
137430,138188,Shot,7685.0,397104,215166,481552,251607,310231,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,396319,160296
137531,138381,Blazing Shot,34083.0,397104,215166,515635,251607,310231,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,396319,160296
139031,139881,Blazing Shot,34083.0,397104,215166,549718,251607,310231,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,396319,160296
139651,140361,Checkmate,23590.0,397104,215166,549718,251607,333821,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,396319,160296
140070,140828,Shot,7685.0,397104,215166,549718,251607,333821,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,404004,160296
130268,140938,Wildfire (dot),148105.0,397104,215166,549718,251607,333821,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,404004,308401
140532,141382,Blazing Shot,34083.0,397104,215166,583801,251607,333821,233164,333821,751492,383363,423317,467514,359425,248866,203266,140541,404004,308401
141152,141862,Double Check,23590.0,397104,215166,583801,251607,333821,233164,357411,751492,383363,423317,467514,359425,248866,203266,140541,404004,308401
142032,142882,Blazing Shot,34083.0,397104,215166,617884,251607,333821,233164,357411,751492,383363,423317,467514,359425,248866,203266,140541,404004,308401
142652,143362,Checkmate,23590.0,397104,215166,617884,251607,357411,233164,357411,751492,383363,423317,467514,359425,248866,203266,140541,404004,308401
142710,143468,Shot,7685.0,397104,215166,617884,251607,357411,233164,357411,751492,383363,423317,467514,359425,248866,203266,140541,411689,308401
143533,144383,Blazing Shot,34083.0,397104,215166,651967,251607,357411,233164,357411,751492,383363,423317,467514,359425,248866,203266,140541,411689,308401
144153,144863,Double Check,23590.0,397104,215166,651967,251607,357411,233164,381001,751492,383363,423317,467514,359425,248866,203266,140541,411689,308401
145033,145883,Blazing Shot,34083.0,397104,215166,686050,251607,357411,233164,381001,751492,383363,423317,467514,359425,248866,203266,140541,411689,308401
145350,146108,Shot,7685.0,397104,215166,686050,251607,357411,233164,381001,751492,383363,423317,467514,359425,248866,203266,140541,419374,308401
