sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
193963,195033,Fall Malefic,33295.0,0,615369,2627094,108989,234227,154271
174592,196500,Combust III (dot),9233.0,0,624602,2627094,108989,234227,154271
196773,197305,Auto,0.0,0,624602,2627094,108989,234227,154271
196273,197343,Fall Malefic,33295.0,0,624602,2660389,108989,234227,154271
174592,199500,Combust III (dot),9233.0,0,633835,2660389,108989,234227,154271
198583,199653,Fall Malefic,33295.0,0,633835,2693684,108989,234227,154271
199973,200505,Auto,0.0,0,633835,2693684,108989,234227,154271
200893,201963,Fall Malefic,33295.0,0,633835,2726979,108989,234227,154271
174592,202500,Combust III (dot),9233.0,0,643068,2726979,108989,234227,154271
203703,204235,Auto,0.0,0,643068,2726979,108989,234227,154271
203203,204273,Fall Malefic,33295.0,0,643068,2760274,108989,234227,154271
204623,205500,Combust III (dot),9233.0,0,652301,2760274,108989,234227,154271
206903,207435,Auto,0.0,0,652301,2760274,108989,234227,154271
204623,208500,Combust III (dot),9233.0,0,661534,2760274,108989,234227,154271
207823,208893,Fall Malefic,33295.0,0,661534,2793569,108989,234227,154271
210633,211165,Auto,0.0,0,661534,2793569,108989,234227,154271
210133,211203,Fall Malefic,33295.0,0,661534,2826864,108989,234227,154271
204623,211500,Combust III (dot),9233.0,0,670767,2826864,108989,234227,154271
212443,213513,Fall Malefic,33295.0,0,670767,2860159,108989,234227,154271
213833,214365,Auto,0.0,0,670767,2860159,108989,234227,154271
204623,214500,Combust III (dot),9233.0,0,680000,2860159,108989,234227,154271
214753,215823,Fall Malefic,33295.0,0,680000,2893454,108989,234227,154271
204623,217500,Combust III (dot),9233.0,0,689233,2893454,108989,234227,154271
217563,218095,Auto,0.0,0,689233,2893454,108989,234227,154271
217063,218133,Fall Malefic,33295.0,0,689233,2926749,108989,234227,154271
219373,220443,Fall Malefic,33295.0,0,689233,2960044,108989,234227,154271
204623,220500,Combust III (dot),9233.0,0,698466,2960044,108989,234227,154271
220763,221295,Auto,0.0,0,698466,2960044,108989,234227,154271
221683,222753,Fall Malefic,33295.0,0,698466,2993339,108989,234227,154271
204623,223500,Combust III (dot),9233.0,0,707699,2993339,108989,234227,154271
224493,225025,Auto,0.0,0,707699,2993339,108989,234227,154271
223993,225063,Fall Malefic,33295.0,0,707699,3026634,108989,234227,154271
204623,226500,Combust III (dot),9233.0,0,716932,3026634,108989,234227,154271
226303,227373,Fall Malefic,33295.0,0,716932,3059929,108989,234227,154271
227693,228225,Auto,0.0,0,716932,3059929,108989,234227,154271
204623,229500,Combust III (dot),9233.0,0,726165,3059929,108989,234227,154271
228613,229683,Fall Malefic,33295.0,0,726165,3093224,108989,234227,154271
231423,231955,Auto,0.0,0,726165,3093224,108989,234227,154271
230923,231993,Fall Malefic,33295.0,0,726165,3126519,108989,234227,154271
204623,232500,Combust III (dot),9233.0,0,735398,3126519,108989,234227,154271
233233,234303,Fall Malefic,33295.0,0,735398,3159814,108989,234227,154271
234623,235155,Auto,0.0,0,735398,3159814,108989,234227,154271
234653,235500,Combust III (dot),9233.0,0,744631,3159814,108989,234227,154271
234653,238500,Combust III (dot),9233.0,0,753864,3159814,108989,234227,154271
238353,238885,Auto,0.0,0,753864,3159814,108989,234227,154271
237853,238923,Fall Malefic,33295.0,0,753864,3193109,108989,234227,154271
239273,240343,Fall Malefic,33295.0,0,753864,3226404,108989,234227,154271
234653,241500,Combust III (dot),9233.0,0,763097,3226404,108989,234227,154271
241553,242085,Auto,0.0,0,763097,3226404,108989,234227,154271
241583,242653,Fall Malefic,33295.0,0,763097,3259699,108989,234227,154271
234653,244500,Combust III (dot),9233.0,0,772330,3259699,108989,234227,154271
243893,244963,Fall Malefic,33295.0,0,772330,3292994,108989,234227,154271
244753,245285,Auto,0.0,0,772330,3292994,108989,234227,154271
246203,247273,Fall Malefic,35292.0,0,772330,3328286,108989,234227,154271
234653,247500,Combust III (dot),9233.0,0,781563,3328286,108989,234227,154271
247443,248063,Lord of Crowns,52344.0,0,781563,3328286,161333,234227,154271
247953,248485,Auto,0.0,0,781563,3328286,161333,234227,154271
249213,249213,Stellar Explosion (pet),38824.0,0,781563,3328286,161333,234227,193095
248513,249583,Fall Malefic,35292.0,0,781563,3363578,161333,234227,193095
234653,250500,Combust III (dot),9233.0,0,790796,3363578,161333,234227,193095
251153,251685,Auto,0.0,0,790796,3363578,161333,234227,193095
250823,251893,Fall Malefic,35292.0,0,790796,3398870,161333,234227,193095
251443,253183,Oracle,112491.0,0,790796,3398870,161333,346718,193095
234653,253500,Combust III (dot),9233.0,0,800029,3398870,161333,346718,193095
253133,254203,Fall Malefic,35292.0,0,800029,3434162,161333,346718,193095
254353,254885,Auto,0.0,0,800029,3434162,161333,346718,193095
234653,256500,Combust III (dot),9233.0,0,809262,3434162,161333,346718,193095
256333,257403,Fall Malefic,35292.0,0,809262,3469454,161333,346718,193095
257553,258085,Auto,0.0,0,809262,3469454,161333,346718,193095
234653,259500,Combust III (dot),9233.0,0,818495,3469454,161333,346718,193095
258643,259713,Fall Malefic,35292.0,0,818495,3504746,161333,346718,193095
261453,261985,Auto,0.0,0,818495,3504746,161333,346718,193095
260953,262023,Fall Malefic,35292.0,0,818495,3540038,161333,346718,193095
234653,262500,Combust III (dot),9233.0,0,827728,3540038,161333,346718,193095
262374,263444,Fall Malefic,35292.0,0,827728,3575330,161333,346718,193095
264653,265185,Auto,0.0,0,827728,3575330,161333,346718,193095
264684,265500,Combust III (dot),9786.0,0,837514,3575330,161333,346718,193095
