sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
106919,107319,Gust Slash,40707.0,352341,15069,271342,35239,420262,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
107225,107757,Auto,7779.0,352341,15069,271342,35239,428041,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
109039,109579,Aeolian Edge,56992.0,409333,15069,271342,35239,428041,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
109395,109927,Auto,7779.0,409333,15069,271342,35239,435820,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
111565,112097,Auto,7779.0,409333,15069,271342,35239,443599,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,204572,164100,126801
112661,113641,Suiton,59027.0,409333,15069,271342,35239,443599,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,263599,164100,126801
113735,114267,Auto,7779.0,409333,15069,271342,35239,451378,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,368874,46521,263599,164100,126801
114161,114561,Spinning Edge,30530.0,409333,15069,271342,35239,451378,226565,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
114781,115401,Bhavacakra,40707.0,409333,15069,271342,35239,451378,267272,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
115905,116437,Auto,7779.0,409333,15069,271342,35239,459157,267272,44058,140985,470005,63586,74587,499256,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
116281,116681,Gust Slash,40707.0,409333,15069,271342,35239,459157,267272,44058,140985,470005,63586,74587,539963,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
118075,118607,Auto,7779.0,409333,15069,271342,35239,466936,267272,44058,140985,470005,63586,74587,539963,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
118401,119021,Armor Crush,50884.0,409333,15069,322226,35239,466936,267272,44058,140985,470005,63586,74587,539963,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
120245,120777,Auto,7779.0,409333,15069,322226,35239,474715,267272,44058,140985,470005,63586,74587,539963,15069,441313,166172,75279,496851,399404,46521,263599,164100,126801
120521,120921,Spinning Edge,30530.0,409333,15069,322226,35239,474715,267272,44058,140985,470005,63586,74587,539963,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
122415,122947,Auto,7779.0,409333,15069,322226,35239,482494,267272,44058,140985,470005,63586,74587,539963,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
122642,123042,Gust Slash,40707.0,409333,15069,322226,35239,482494,267272,44058,140985,470005,63586,74587,580670,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
123262,123882,Bhavacakra,40707.0,409333,15069,322226,35239,482494,307979,44058,140985,470005,63586,74587,580670,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
124585,125117,Auto,7779.0,409333,15069,322226,35239,490273,307979,44058,140985,470005,63586,74587,580670,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
124762,125302,Aeolian Edge,56992.0,466325,15069,322226,35239,490273,307979,44058,140985,470005,63586,74587,580670,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
125582,126652,Dokumori,40707.0,466325,15069,322226,35239,490273,307979,84765,140985,470005,63586,74587,580670,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
126755,127287,Auto,9577.0,466325,15069,322226,35239,499850,307979,84765,140985,470005,63586,74587,580670,15069,441313,166172,75279,496851,429934,46521,263599,164100,126801
126882,128442,Phantom Kamaitachi (pet),81189.0,466325,15069,322226,35239,499850,307979,84765,140985,470005,63586,74587,580670,15069,441313,166172,156468,496851,429934,46521,263599,164100,126801
128925,129457,Auto,10534.0,466325,15069,322226,35239,510384,307979,84765,140985,470005,63586,74587,580670,15069,441313,166172,156468,496851,429934,46521,263599,164100,126801
128381,129671,Kunai's Bane,87711.0,466325,15069,322226,35239,510384,307979,84765,140985,470005,63586,74587,580670,15069,441313,253883,156468,496851,429934,46521,263599,164100,126801
130002,130622,Hyosho Ranryu,232939.0,466325,15069,322226,35239,510384,307979,84765,140985,470005,63586,74587,580670,15069,674252,253883,156468,496851,429934,46521,263599,164100,126801
130702,131402,Dream Within a Dream,24807.0,466325,15069,322226,35239,510384,307979,84765,165792,470005,63586,74587,580670,15069,674252,253883,156468,496851,429934,46521,263599,164100,126801
130702,131552,Dream Within a Dream,24807.0,466325,15069,322226,35239,510384,307979,84765,190599,470005,63586,74587,580670,15069,674252,253883,156468,496851,429934,46521,263599,164100,126801
131095,131627,Auto,10534.0,466325,15069,322226,35239,520918,307979,84765,190599,470005,63586,74587,580670,15069,674252,253883,156468,496851,429934,46521,263599,164100,126801
130702,131702,Dream Within a Dream,24807.0,466325,15069,322226,35239,520918,307979,84765,215406,470005,63586,74587,580670,15069,674252,253883,156468,496851,429934,46521,263599,164100,126801
132504,133214,Raiton,101994.0,466325,15069,322226,35239,520918,307979,84765,215406,470005,63586,74587,580670,15069,674252,253883,156468,598845,429934,46521,263599,164100,126801
