sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
118360,118892,Auto,90,1.0,3870,1700,1665,500,4140,1360,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
120000,120620,Fang and Claw,340,1.0,3870,1700,1665,500,4140,1700,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
105000,121500,Chaotic Spring (dot),45,1.0,3870,1700,1710,500,4140,1700,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
121160,121692,Auto,90,1.0,3960,1700,1710,500,4140,1700,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
122500,123120,Drakesbane,460,1.0,3960,1700,1710,500,4600,1700,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
123960,124492,Auto,90,1.0,4050,1700,1710,500,4600,1700,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
105000,124500,Chaotic Spring (dot),45,1.0,4050,1700,1755,500,4600,1700,560,2300,1600,1700,1140,1440,0,2880,550,1500,1400,1680,230,1700,1760
125000,125620,Raiden Thrust,320,1.0,4050,1700,1755,500,4600,1700,560,2300,1600,1700,1140,1440,0,3200,550,1500,1400,1680,230,1700,1760
126240,126910,Geirskogul,280,1.0,4050,1700,1755,500,4600,1700,840,2300,1600,1700,1140,1440,0,3200,550,1500,1400,1680,230,1700,1760
126760,127292,Auto,90,1.0,4140,1700,1755,500,4600,1700,840,2300,1600,1700,1140,1440,0,3200,550,1500,1400,1680,230,1700,1760
105000,127500,Chaotic Spring (dot),45,1.0,4140,1700,1800,500,4600,1700,840,2300,1600,1700,1140,1440,0,3200,550,1500,1400,1680,230,1700,1760
127500,128880,Spiral Blow,300,1.0,4140,1700,1800,500,4600,1700,840,2300,1600,1700,1140,1440,0,3200,550,1800,1400,1680,230,1700,1760
128120,128920,Mirage Dive,380,1.0,4140,1700,1800,500,4600,1700,840,2300,1600,1700,1520,1440,0,3200,550,1800,1400,1680,230,1700,1760
128740,129540,Dragonfire Dive,500,1.0,4140,1700,1800,1000,4600,1700,840,2300,1600,1700,1520,1440,0,3200,550,1800,1400,1680,230,1700,1760
129560,130092,Auto,90,1.0,4230,1700,1800,1000,4600,1700,840,2300,1600,1700,1520,1440,0,3200,550,1800,1400,1680,230,1700,1760
130000,130450,Chaotic Spring,340,1.0,4230,2040,1800,1000,4600,1700,840,2300,1600,1700,1520,1440,0,3200,550,1800,1400,1680,230,1700,1760
130000,130500,Chaotic Spring (dot),45,1.0,4230,2040,1845,1000,4600,1700,840,2300,1600,1700,1520,1440,0,3200,550,1800,1400,1680,230,1700,1760
130620,131380,Nastrond,720,1.0,4230,2040,1845,1000,4600,1700,840,2300,1600,1700,1520,2160,0,3200,550,1800,1400,1680,230,1700,1760
131240,132400,Rise of the Dragon,550,1.0,4230,2040,1845,1000,4600,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,1700,1760
132360,132892,Auto,90,1.0,4320,2040,1845,1000,4600,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,1700,1760
132500,133120,Wheeling Thrust,340,1.0,4320,2040,1845,1000,4600,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,2040,1760
130000,133500,Chaotic Spring (dot),45,1.0,4320,2040,1890,1000,4600,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,2040,1760
133740,134940,Wyrmwind Thrust,440,1.0,4320,2040,1890,1000,4600,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,2040,2200
135000,135620,Drakesbane,460,1.0,4320,2040,1890,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,2040,2200
135160,135692,Auto,90,1.0,4410,2040,1890,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,2040,2200
130000,136500,Chaotic Spring (dot),45,1.0,4410,2040,1935,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,1680,230,2040,2200
135620,136910,Stardiver,840,1.0,4410,2040,1935,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3200,1100,1800,1400,2520,230,2040,2200
137500,138120,Raiden Thrust,320,1.0,4410,2040,1935,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3520,1100,1800,1400,2520,230,2040,2200
137960,138492,Auto,90,1.0,4500,2040,1935,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3520,1100,1800,1400,2520,230,2040,2200
138120,139100,Starcross,700,1.0,4500,2040,1935,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3520,1100,1800,2100,2520,230,2040,2200
130000,139500,Chaotic Spring (dot),45,1.0,4500,2040,1980,1000,5060,1700,840,2300,1600,1700,1520,2160,0,3520,1100,1800,2100,2520,230,2040,2200
